CLO,MET,WME,TA,TR,VEL,RH,PA
0.79,1,0,23.7,22.95,0.07,59.9,101.325
0.6,1,0,23.7,22.95,0.07,59.9,101.325
0.57,1,0,23.7,22.95,0.07,59.9,101.325
0.59,1,0,23.7,22.95,0.07,59.9,101.325
0.68,1,0,23.7,22.95,0.07,59.9,101.325
0.37,1,0,23.7,22.71,0.22,59.9,101.325
0.96,1,0,23.7,22.95,0.07,59.9,101.325
0.79,1,0,23.87,23,0.06,61.7,101.325
0.6,1,0,23.87,23,0.06,61.7,101.325
0.57,1,0,23.87,23,0.06,61.7,101.325
0.59,1,0,23.87,23,0.06,61.7,101.325
0.68,1,0,23.87,23,0.06,61.7,101.325
0.37,1,0,23.87,22.69,0.22,61.7,101.325
0.96,1,0,23.87,23,0.06,61.7,101.325
0.79,1,0,23.36,22.97,0.06,58.8,101.325
0.6,1,0,23.36,22.97,0.06,58.8,101.325
0.57,1,0,23.36,22.97,0.06,58.8,101.325
0.59,1,0,23.36,22.97,0.06,58.8,101.325
0.68,1,0,23.36,22.97,0.06,58.8,101.325
0.37,1,0,23.18,23.01,0.17,59.8,101.325
0.96,1,0,23.36,22.97,0.06,58.8,101.325
0.79,1,0,21.52,21.97,0.07,55.3,101.325
0.6,1,0,21.52,21.97,0.07,55.3,101.325
0.57,1,0,21.52,21.97,0.07,55.3,101.325
0.59,1,0,21.52,21.97,0.07,55.3,101.325
0.81,1,0,21.52,21.97,0.07,55.3,101.325
0.37,1,0,21.33,22.24,0.17,56.4,101.325
0.96,1,0,21.52,21.97,0.07,55.3,101.325
0.79,1,0,21.17,21.12,0.06,51.6,101.325
0.6,1,0,21.17,21.12,0.06,51.6,101.325
0.57,1,0,21.17,21.12,0.06,51.6,101.325
0.59,1,0,21.17,21.12,0.06,51.6,101.325
0.81,1,0,21.17,21.12,0.06,51.6,101.325
0.73,1,0,21.02,21.23,0.15,52.6,101.325
0.96,1,0,21.17,21.12,0.06,51.6,101.325
0.79,1,0,21.43,20.59,0.08,48.3,101.325
0.6,1,0,21.43,20.59,0.08,48.3,101.325
0.57,1,0,21.43,20.59,0.08,48.3,101.325
0.65,1,0,21.43,20.59,0.08,48.3,101.325
1.04,1,0,21.43,20.59,0.08,48.3,101.325
0.73,1,0,21.21,20.6,0.18,49.5,101.325
0.96,1,0,21.43,20.59,0.08,48.3,101.325
0.79,1,0,21.21,20.46,0.06,50.2,101.325
0.6,1,0,21.21,20.46,0.06,50.2,101.325
0.57,1,0,21.21,20.46,0.06,50.2,101.325
0.65,1,0,21.21,20.46,0.06,50.2,101.325
1.04,1,0,21.21,20.46,0.06,50.2,101.325
0.73,1,0,20.96,20.5,0.15,51.7,101.325
0.96,1,0,21.21,20.46,0.06,50.2,101.325
0.78,1,0,22.6,23.03,0,59.6,101.33
0.78,1,0,22.67,23.08,0,60.14,101.33
0.78,1,0,22.73,23.11,0,59.26,101.33
0.73,1,0,23.07,23.12,0,58.66,101.33
0.84,1,0,23.4,23.18,0,58.98,101.33
0.89,1,0,23.4,23.41,0,58.98,101.33
0.89,1,0,23.7,23.39,0,59.26,101.33
0.65,1,0,23.7,22.92,0.09,59.95,101.33
0.65,1,0,23.87,22.96,0.08,61.7,101.33
0.65,1,0,23.33,22.98,0.08,58.92,101.33
0.67,1,0,21.49,22.01,0.08,55.44,101.33
0.72,1,0,21.15,21.14,0.07,51.78,101.33
0.76,1,0,21.4,20.59,0.09,48.5,101.33
0.76,1,0,21.17,20.47,0.07,50.46,101.33
0.81,1,0,23.08,23.19,0,59.27,101.33
0.7,1,0,22.3,21.86,0.08,55.25,101.33
0.75,1,0,22.68,22.47,0.05,57.05,101.33
